Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-FEB-2023,30934.3,31179.75,29869.15,30386.65,841874521,12535.22
02-FEB-2023,30274.6,30587.85,30149.45,30433,671952388,9125.95
03-FEB-2023,30511.05,30566.75,29926.85,30378.1,697651704,7968.78
06-FEB-2023,30375.5,30704.35,30336.9,30670.65,1177996785,8046.21
07-FEB-2023,30718.55,30760.15,30502.8,30663.8,615254052,8145.55
08-FEB-2023,30722.55,30982.65,30629.85,30944,517174091,7753.42
09-FEB-2023,31016.25,31036.65,30846.75,30956.65,429116441,8048.48
10-FEB-2023,30874.95,31093,30806.65,31029.45,498317450,8499
13-FEB-2023,30973.15,31008.9,30521.75,30565.35,534201046,11345.74
14-FEB-2023,30591.5,30655.45,30321.9,30481.8,405187130,7244.29
15-FEB-2023,30427.5,30705.35,30405.25,30671,324261750,7233.55
16-FEB-2023,30800.85,30981.4,30736.2,30886.5,386482418,7772.09
17-FEB-2023,30803.95,30863.15,30591.8,30642.05,398613647,6283.14
20-FEB-2023,30715,30826.4,30491.6,30666.9,562131840,6724.5
21-FEB-2023,30743.25,30788.25,30519.05,30556.8,514057327,7143.91
22-FEB-2023,30452.95,30517.55,30124.35,30211,503388498,8262.76
23-FEB-2023,30226.1,30257.6,29883.5,30165.65,674869295,8905.71
24-FEB-2023,30257.9,30373.65,30060.8,30103.4,527924013,7634.5
27-FEB-2023,30078.35,30081.85,29631.1,29894.9,475945851,6737.42
28-FEB-2023,29960.5,30166.25,29875.55,30117.3,619321821,9442.82
01-MAR-2023,30182.9,30613.95,30176.75,30584.1,681324529,7443.8
02-MAR-2023,30605.95,30621.1,30455.85,30486.75,544557094,6332.6
03-MAR-2023,30644.35,30768.6,30600.75,30697.65,665781007,7324.71
06-MAR-2023,30840.45,31093.95,30825.75,30960.05,523361942,6964.89
08-MAR-2023,30839.85,31150.65,30774.75,31119.25,440933646,8484.06
09-MAR-2023,31197.05,31258.85,30901.65,30948.65,406513413,7183.63
10-MAR-2023,30753.5,30753.9,30463.15,30717.45,386170106,6550.47
13-MAR-2023,30630.7,30742.3,30023.85,30106.85,904080033,8046.41
14-MAR-2023,30132.85,30165.5,29808.8,29949.35,553409644,8198.41
15-MAR-2023,30170.15,30248.25,29919.95,29971.25,480564886,6791.43
16-MAR-2023,29907,30092.35,29598.7,29997.5,629242823,7900.81
17-MAR-2023,30204.35,30284.6,29983.1,30092.25,953637768,10586.75
20-MAR-2023,30078.9,30139.35,29543.15,29782.55,650151980,6721.36
21-MAR-2023,29897.85,29995.6,29797.55,29958.15,485817464,6606.46
22-MAR-2023,30072.25,30160.6,30011.25,30040.6,567502854,6090.35
23-MAR-2023,29992.85,30071.6,29884.15,29916.7,388397081,5593.87
24-MAR-2023,29915.95,29944.75,29504.4,29565.45,467597980,6345.61
27-MAR-2023,29578.2,29634.65,29386.05,29426.6,464226967,6178.8
28-MAR-2023,29483.95,29516.8,29200.2,29324.75,447550798,5759.14
29-MAR-2023,29291.1,29833.6,29291.1,29775.55,540184244,8463.76
31-MAR-2023,29914.35,30144.15,29907.05,30035.15,542357137,7740.71
03-APR-2023,30199,30200.1,30049.05,30166.75,486284162,6274.52
05-APR-2023,30189.05,30197,30074.25,30160.15,475093480,7297.72
06-APR-2023,30152.8,30397.6,30058.05,30353.8,476543619,7278.44
10-APR-2023,30455.85,30505.9,30328.75,30470.1,383470249,7480.23
11-APR-2023,30553.45,30696.1,30501.4,30623.5,396869911,7475.41
12-APR-2023,30691.35,30838.9,30659.55,30824.05,408010908,8344.82
13-APR-2023,30895.3,30977.05,30745.05,30884.65,430034742,9032.57
17-APR-2023,30812.8,31023.75,30682.75,31006.5,413952878,8170.92
18-APR-2023,31084,31271.3,31036.6,31240.75,767030832,10057.11
19-APR-2023,31307.1,31361.4,31173.9,31211.25,577953154,8754.89
20-APR-2023,31271.7,31316.55,31197,31219.55,390644531,8042.97
21-APR-2023,31274.35,31276,30954.9,31087.35,663625331,7150.91
24-APR-2023,31113.7,31228.75,30999.15,31210,606460167,6452.03
25-APR-2023,31228.5,31279.1,31140,31180.6,638239857,9694.16
26-APR-2023,31150.15,31250.35,31028.55,31228.85,712616908,8399.21
27-APR-2023,31254.35,31433.4,31242.25,31404.2,911427091,9772.58
28-APR-2023,31477.75,31816.3,31452.85,31794.75,717241631,11354.92
02-MAY-2023,31948.85,32171.8,31926.85,32101.8,885310358,10901.71
03-MAY-2023,32053.25,32257.8,31982.2,32186.2,926229888,10624.49
04-MAY-2023,32243.8,32399.35,32227.7,32374.35,803307016,9417.29
05-MAY-2023,32393.1,32455.25,32110.5,32148.85,745036075,10192.35
08-MAY-2023,32259.65,32500.85,32233.5,32476.1,699886432,11151.23
09-MAY-2023,32571.9,32739.55,32437.75,32488.5,610839266,10338.48
10-MAY-2023,32578.1,32578.4,32276.95,32505.35,621574154,8904.02
11-MAY-2023,32625.55,32694.2,32541.05,32601.3,687678865,8960.06
12-MAY-2023,32646.6,32646.6,32417.3,32468.45,497153218,9311.33
15-MAY-2023,32493,32779.5,32421.7,32709.4,467447510,8824.93
16-MAY-2023,32830.85,33044.8,32766.85,32792.85,723503706,10654.27
17-MAY-2023,32821.1,32868.05,32529.45,32762.75,647186392,9902.36
18-MAY-2023,32904,32934.2,32520.25,32570.55,445369963,8445.4
19-MAY-2023,32615.25,32616.25,32232.4,32550.35,459521368,9581.6
22-MAY-2023,32530.05,32776.35,32450.55,32756.4,430454845,9192.56
23-MAY-2023,32873.1,33000.8,32830.9,32961.9,433319046,9344.71
24-MAY-2023,32975,33136.7,32865.4,33031.35,508827147,11832.89
25-MAY-2023,33018.7,33188.4,32972.4,33157.1,630426906,9753.29
26-MAY-2023,33199.8,33454.75,33180,33425.1,512544830,9405.36
29-MAY-2023,33574.25,33613.65,33427.1,33551,597037472,8237.54
30-MAY-2023,33598.1,33695.45,33541.45,33635.3,461842411,7986.73
31-MAY-2023,33616.3,33814.7,33540.95,33761.3,863782492,21420.44
01-JUN-2023,33788.25,33961.95,33774.85,33812.4,442497579,8134.1
02-JUN-2023,33926.8,34006.55,33891.5,33966.8,446449744,8516.4
05-JUN-2023,34113.2,34170.35,33984.25,34015.2,443641143,8614.7
06-JUN-2023,34041.55,34065.5,33830,34035.9,368652313,7793.09
07-JUN-2023,34168.6,34417.95,34150.4,34390.1,651497453,9108.89
08-JUN-2023,34502.15,34534.7,34157.7,34200.4,860080559,11653.56
09-JUN-2023,34298.65,34355.8,34114.1,34153.05,533078762,9048.03
12-JUN-2023,34255.2,34372.3,34090.95,34342.3,412005460,8143.65
13-JUN-2023,34431.95,34781.2,34428.3,34761,628718945,12374.93
14-JUN-2023,34864.55,34870.2,34737.25,34833.3,786886188,11354.47
